wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776722903.826,room_07,1776722903.819,1776722903.823,1776722903.826,7.564,4.05,3.516,room_alerts_mp
1776722904.824,room_08,1776722904.819,1776722904.821,1776722904.824,4.862,2.25,2.613,room_alerts_mp
1776722905.832,room_09,1776722905.821,1776722905.823,1776722905.832,11.221,2.17,9.053,room_alerts_mp
1776722906.827,room_10,1776722906.822,1776722906.824,1776722906.827,4.907,2.33,2.579,room_alerts_mp
1776722907.83,room_11,1776722907.823,1776722907.828,1776722907.83,7.627,5.13,2.502,room_alerts_mp
1776722908.829,room_12,1776722908.824,1776722908.826,1776722908.829,4.406,1.95,2.457,room_alerts_mp
1776722909.83,room_13,1776722909.825,1776722909.827,1776722909.83,4.391,1.97,2.424,room_alerts_mp
1776722910.831,room_14,1776722910.826,1776722910.828,1776722910.831,4.173,2.01,2.166,room_alerts_mp
1776722911.833,room_15,1776722911.827,1776722911.829,1776722911.833,5.459,1.89,3.572,room_alerts_mp
1776722912.834,room_01,1776722912.83,1776722912.832,1776722912.834,4.456,1.97,2.484,room_alerts_mp
1776722913.836,room_02,1776722913.831,1776722913.833,1776722913.836,4.189,1.93,2.261,room_alerts_mp
1776722914.837,room_03,1776722914.833,1776722914.834,1776722914.837,4.117,1.88,2.241,room_alerts_mp
1776722915.839,room_04,1776722915.834,1776722915.836,1776722915.839,4.345,2.12,2.227,room_alerts_mp
1776722916.84,room_05,1776722916.836,1776722916.838,1776722916.84,4.043,2.2,1.843,room_alerts_mp
1776722917.842,room_06,1776722917.837,1776722917.839,1776722917.842,4.48,1.76,2.721,room_alerts_mp
1776722918.841,room_07,1776722918.838,1776722918.84,1776722918.841,3.205,1.48,1.721,room_alerts_mp
1776722919.845,room_08,1776722919.84,1776722919.842,1776722919.845,4.55,1.84,2.708,room_alerts_mp
1776722920.846,room_09,1776722920.841,1776722920.843,1776722920.846,4.374,2.0,2.372,room_alerts_mp
1776722921.847,room_10,1776722921.842,1776722921.845,1776722921.847,5.035,2.73,2.304,room_alerts_mp
1776722922.859,room_11,1776722922.843,1776722922.857,1776722922.859,16.382,14.43,1.953,room_alerts_mp
1776722923.855,room_12,1776722923.847,1776722923.853,1776722923.855,8.198,5.58,2.616,room_alerts_mp
1776722924.859,room_13,1776722924.849,1776722924.857,1776722924.859,10.459,8.03,2.43,room_alerts_mp
1776722925.858,room_14,1776722925.852,1776722925.856,1776722925.858,6.117,4.21,1.906,room_alerts_mp
1776722926.857,room_15,1776722926.854,1776722926.855,1776722926.857,3.733,1.53,2.198,room_alerts_mp
1776722927.86,room_01,1776722927.855,1776722927.859,1776722927.86,5.714,4.0,1.714,room_alerts_mp
1776722928.864,room_02,1776722928.856,1776722928.86,1776722928.864,8.224,4.21,4.016,room_alerts_mp
1776722929.865,room_03,1776722929.858,1776722929.862,1776722929.865,7.152,4.23,2.918,room_alerts_mp
1776722930.869,room_04,1776722930.859,1776722930.867,1776722930.869,9.889,7.95,1.937,room_alerts_mp
1776722931.867,room_05,1776722931.863,1776722931.865,1776722931.867,4.388,1.87,2.513,room_alerts_mp
1776722932.868,room_06,1776722932.864,1776722932.866,1776722932.868,4.065,1.81,2.255,room_alerts_mp
1776722933.898,room_07,1776722933.865,1776722933.896,1776722933.898,33.315,31.08,2.232,room_alerts_mp
1776722934.877,room_08,1776722934.866,1776722934.873,1776722934.877,10.392,7.13,3.264,room_alerts_mp
1776722935.873,room_09,1776722935.869,1776722935.871,1776722935.873,3.852,1.77,2.08,room_alerts_mp
1776722936.875,room_10,1776722936.871,1776722936.873,1776722936.875,4.349,2.22,2.128,room_alerts_mp
1776722937.877,room_11,1776722937.872,1776722937.874,1776722937.877,4.618,1.94,2.673,room_alerts_mp
1776722938.878,room_12,1776722938.874,1776722938.876,1776722938.878,3.631,1.84,1.787,room_alerts_mp
1776722939.889,room_13,1776722939.878,1776722939.886,1776722939.889,11.045,8.37,2.678,room_alerts_mp
1776722940.893,room_14,1776722940.878,1776722940.88,1776722940.893,14.643,1.81,12.829,room_alerts_mp
1776722941.883,room_15,1776722941.88,1776722941.881,1776722941.883,3.827,1.65,2.172,room_alerts_mp
1776722942.894,room_01,1776722942.881,1776722942.893,1776722942.894,13.175,11.8,1.375,room_alerts_mp
1776722943.894,room_02,1776722943.891,1776722943.893,1776722943.894,3.33,1.82,1.508,room_alerts_mp
1776722944.896,room_03,1776722944.892,1776722944.894,1776722944.896,4.182,1.82,2.366,room_alerts_mp
1776722945.896,room_04,1776722945.892,1776722945.894,1776722945.896,3.813,2.17,1.642,room_alerts_mp
1776722946.896,room_05,1776722946.893,1776722946.894,1776722946.896,3.64,1.68,1.961,room_alerts_mp
1776722948.072,room_06,1776722947.894,1776722947.9,1776722948.072,178.146,5.88,172.264,room_alerts_mp
1776722948.901,room_07,1776722948.897,1776722948.899,1776722948.901,3.771,1.84,1.935,room_alerts_mp
1776722949.903,room_08,1776722949.899,1776722949.9,1776722949.903,4.07,1.89,2.184,room_alerts_mp
1776722950.906,room_09,1776722950.899,1776722950.903,1776722950.906,6.24,3.97,2.269,room_alerts_mp
1776722951.907,room_10,1776722951.901,1776722951.905,1776722951.907,6.697,4.44,2.258,room_alerts_mp
1776722952.909,room_11,1776722952.903,1776722952.906,1776722952.909,5.494,2.89,2.605,room_alerts_mp
1776722953.912,room_12,1776722953.904,1776722953.91,1776722953.912,7.353,5.92,1.436,room_alerts_mp
1776722954.917,room_13,1776722954.906,1776722954.915,1776722954.917,10.73,8.39,2.335,room_alerts_mp
1776722955.912,room_14,1776722955.907,1776722955.909,1776722955.912,4.35,1.72,2.632,room_alerts_mp
1776722956.919,room_15,1776722956.911,1776722956.917,1776722956.919,7.486,5.71,1.778,room_alerts_mp
1776722957.916,room_01,1776722957.912,1776722957.914,1776722957.916,3.456,1.98,1.477,room_alerts_mp
1776722958.928,room_02,1776722958.915,1776722958.925,1776722958.928,13.06,10.29,2.773,room_alerts_mp
1776722959.929,room_03,1776722959.916,1776722959.918,1776722959.929,13.305,1.72,11.58,room_alerts_mp
1776722960.927,room_04,1776722960.922,1776722960.926,1776722960.927,5.117,3.34,1.779,room_alerts_mp
1776722961.931,room_05,1776722961.926,1776722961.93,1776722961.931,5.294,3.48,1.81,room_alerts_mp
1776722962.941,room_06,1776722962.932,1776722962.939,1776722962.941,8.338,6.63,1.706,room_alerts_mp
1776722963.938,room_07,1776722963.933,1776722963.935,1776722963.938,4.301,1.98,2.319,room_alerts_mp
1776722964.938,room_08,1776722964.934,1776722964.936,1776722964.938,3.441,1.94,1.501,room_alerts_mp
1776722965.95,room_09,1776722965.938,1776722965.943,1776722965.95,11.151,4.4,6.748,room_alerts_mp
1776722966.947,room_10,1776722966.94,1776722966.945,1776722966.947,6.846,4.74,2.107,room_alerts_mp
